Instances,|D|,nIP_LB,nIP_UB,nIP_gap,nIP_time,nFEAS_LB,nFEAS_UB,nFEAS_gap,nFEAS_time,IP_LB,IP_UB,IP_gap,IP_time,FEAS_LB,FEAS_UB,FEAS_gap,FEAS_time,tIP_LB,tIP_UB,tIP_gap,tIP_time,tFEAS_LB,tFEAS_UB,tFEAS_gap,tFEAS_time
full-5-15-1.txt,10,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1
full-5-15-2.txt,10,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1
full-5-15-3.txt,10,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1
full-5-15-4.txt,10,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1
full-5-15-5.txt,10,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1
full-5-30-1.txt,10,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.2
full-5-30-2.txt,10,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.2,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1
full-5-30-3.txt,10,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1
full-5-30-4.txt,10,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1
full-5-30-5.txt,10,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1,5.0,5.0,0.0,0.1
full-6-15-1.txt,15,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.1,6.0,6.0,0.0,2.1,6.0,6.0,0.0,0.9,6.0,6.0,0.0,2.2,6.0,6.0,0.0,0.8
full-6-15-2.txt,15,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.1,6.0,6.0,0.0,1.4,6.0,6.0,0.0,0.4,6.0,6.0,0.0,1.1,6.0,6.0,0.0,0.3
full-6-15-3.txt,15,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.1,6.0,6.0,0.0,1.3,6.0,6.0,0.0,0.3,6.0,6.0,0.0,1.4,6.0,6.0,0.0,0.3
full-6-15-4.txt,15,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.1,6.0,6.0,0.0,0.5,6.0,6.0,0.0,0.3,6.0,6.0,0.0,0.6,6.0,6.0,0.0,0.3
full-6-15-5.txt,15,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.1,6.0,6.0,0.0,0.6,6.0,6.0,0.0,0.3,6.0,6.0,0.0,0.7,6.0,6.0,0.0,0.3
full-6-30-1.txt,15,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.1,6.0,6.0,0.0,14.0,6.0,6.0,0.0,1.1,6.0,6.0,0.0,13.1,6.0,6.0,0.0,1.0
full-6-30-2.txt,15,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.1,6.0,6.0,0.0,5.0,6.0,6.0,0.0,0.5,6.0,6.0,0.0,5.1,6.0,6.0,0.0,0.5
full-6-30-3.txt,15,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.1,6.0,6.0,0.0,0.5,6.0,6.0,0.0,0.2,6.0,6.0,0.0,0.5,6.0,6.0,0.0,0.2
full-6-30-4.txt,15,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.3,6.0,6.0,0.0,18.6,6.0,6.0,0.0,0.7,6.0,6.0,0.0,18.7,6.0,6.0,0.0,0.7
full-7-15-5.txt,21,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.3,7.0,7.0,0.0,25.0,7.0,7.0,0.0,40.7,7.0,7.0,0.0,22.6,7.0,7.0,0.0,40.8
full-6-30-5.txt,15,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.1,6.0,6.0,0.0,13.0,6.0,6.0,0.0,1.0,6.0,6.0,0.0,13.0,6.0,6.0,0.0,1.0
full-7-15-1.txt,21,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.4,7.0,7.0,0.0,18.9,7.0,7.0,0.0,2.1,7.0,7.0,0.0,18.8,7.0,7.0,0.0,2.1
full-7-15-2.txt,21,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.1,7.0,7.0,0.0,1.6,7.0,7.0,0.0,4.7,7.0,7.0,0.0,1.6,7.0,7.0,0.0,4.7
full-7-15-3.txt,21,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.3,7.0,7.0,0.0,0.9,7.0,7.0,0.0,183.9,7.0,7.0,0.0,0.9,7.0,7.0,0.0,181.4
