Instances,Size,Trivial_tLB,Trivial_tUB,HD_HD,HD_Time,LB_nLB,LB_Time,UB_nUB,UB_Time,DUB_nDUB,DUB_Time
full-5-30-1,10,5,11,0,0.0,5,0.1,6,13.5,5,12.5
full-5-30-2,10,5,11,0,0.1,5,0.1,10,8.4,5,10.3
full-5-30-3,10,5,11,0,0.0,5,0.1,6,8.3,5,3.2
full-5-30-4,10,5,11,0,0.0,5,0.1,10,3.0,5,2.8
full-5-30-5,10,5,11,0,0.1,5,0.2,9,13.9,5,9.7
full-5-15-1,10,5,11,0,0.1,5,0.1,11,4.5,5,6.8
full-5-15-2,10,5,11,0,0.1,5,0.1,8,14.2,5,7.0
full-5-15-3,10,5,11,0,0.1,5,0.1,9,11.1,5,4.0
full-5-15-4,10,5,11,0,0.1,5,0.1,11,6.4,5,6.5
full-5-15-5,10,5,11,0,0.0,5,0.1,10,5.1,5,6.7
full-6-30-1,15,6,16,0,0.1,6,0.1,16,11.4,6,40.6
full-6-30-2,15,6,16,0,2.7,6,0.1,16,14.5,6,11.5
full-6-30-3,15,6,16,0,0.0,6,0.2,13,2.9,6,4.7
full-6-30-4,15,6,16,0,0.1,6,0.1,13,28.0,6,29.6
full-6-30-5,15,6,16,0,0.1,6,0.1,13,18.5,6,57.5
full-6-15-1,15,6,16,0,0.0,6,0.1,12,12.3,6,19.4
full-6-15-2,15,6,16,0,0.1,6,0.2,16,13.4,6,23.2
full-6-15-3,15,6,16,0,0.1,6,0.1,10,7.0,6,6.2
full-6-15-4,15,6,16,0,0.1,6,0.1,11,7.6,6,18.8
full-6-15-5,15,6,16,0,0.1,6,0.1,13,4.2,6,11.4
full-7-30-1,21,7,22,0,0.1,7,0.1,19,42.8,7,90.5
full-7-30-2,21,7,22,0,0.1,7,0.1,16,31.4,7,35.5
full-7-30-3,21,7,22,0,0.1,7,0.1,16,31.4,7,33.0
full-7-30-4,21,7,22,0,0.1,7,0.1,17,51.5,7,43.4
full-7-30-5,21,7,22,0,0.1,7,0.1,13,25.1,7,68.6
full-7-15-1,21,7,22,0,0.1,7,0.1,16,10.2,7,41.2
full-7-15-2,21,7,22,0,0.2,7,0.2,12,14.0,7,49.3
full-7-15-3,21,7,22,0,0.1,7,0.2,14,11.3,7,24.0
full-7-15-4,21,7,22,0,0.1,7,0.1,15,13.0,7,40.8
full-7-15-5,21,7,22,0,0.1,7,0.1,12,7.7,7,45.6
full-8-30-1,28,8,29,0,0.1,8,0.1,16,24.6,8,80.7
full-8-30-2,28,8,29,0,0.3,8,0.1,22,59.3,8,144.4
full-8-30-3,28,8,29,0,0.2,8,0.1,17,31.1,8,110.3
full-8-30-4,28,8,29,0,0.2,8,0.1,20,49.7,8,117.0
full-8-30-5,28,8,29,0,1.6,8,0.1,20,66.2,8,139.7
full-8-15-1,28,8,29,0,0.2,8,0.4,22,28.5,8,78.3
full-8-15-2,28,8,29,0,0.1,8,0.1,14,26.3,8,84.2
full-8-15-3,28,8,29,0,0.1,8,0.1,18,10.8,8,43.2
full-8-15-4,28,8,29,0,0.1,8,0.1,16,11.3,8,56.2
full-8-15-5,28,8,29,0,0.2,8,0.1,16,23.5,8,106.3
full-9-30-1,36,9,37,0,0.5,9,0.1,25,37.7,9,229.9
full-9-30-2,36,9,37,0,0.2,9,0.1,18,66.0,9,166.2
full-9-30-3,36,9,37,0,0.3,9,0.1,23,82.0,9,262.2
full-9-30-4,36,9,37,0,0.4,9,0.1,17,63.0,9,248.1
full-9-30-5,36,9,37,0,0.3,9,0.1,26,73.8,9,248.6
full-9-15-1,36,9,37,0,0.4,9,0.4,17,60.2,9,116.3
full-9-15-2,36,9,37,0,0.1,9,0.1,19,30.1,9,95.7
full-9-15-3,36,9,37,0,0.2,9,0.1,26,32.5,9,114.4
full-9-15-4,36,9,37,0,0.2,9,0.1,20,35.5,9,123.4
full-9-15-5,36,9,37,0,0.1,9,0.1,17,31.7,9,120.7
full-10-30-1,45,10,46,0,0.5,10,0.2,27,87.8,10,374.2
full-10-30-2,45,10,46,0,0.6,10,0.1,27,78.8,10,397.4
full-10-30-3,45,10,46,0,0.3,10,0.1,25,55.6,10,343.8
full-10-30-4,45,10,46,0,0.4,10,0.1,26,134.2,10,569.4
full-10-30-5,45,10,46,0,0.8,10,0.1,31,84.2,10,558.7
full-10-15-1,45,10,46,0,0.1,10,0.1,27,71.7,10,324.7
full-10-15-2,45,10,46,0,0.2,10,0.2,29,14.8,10,178.2
full-10-15-3,45,10,46,0,0.2,10,0.1,24,42.6,10,229.0
full-10-15-4,45,10,46,0,0.2,10,0.4,19,141.1,10,1575.3
full-10-15-5,45,10,46,0,0.2,10,0.2,25,35.5,10,269.2
full-11-30-1,55,11,56,0,0.7,11,0.2,34,344.8,11,1316.0
full-11-30-2,55,11,56,0,0.3,11,0.1,30,128.0,11,677.3
full-11-30-3,55,11,56,0,1.2,11,0.1,32,63.8,11,611.4
full-11-30-4,55,11,56,0,0.5,11,0.2,37,291.3,11,1009.7
full-11-30-5,55,11,56,0,0.8,11,0.1,33,351.0,11,907.9
full-11-15-1,55,11,56,0,0.3,11,0.1,27,63.3,12,468.5
full-11-15-2,55,11,56,0,0.4,11,0.2,27,54.3,11,485.8
full-11-15-3,55,11,56,0,0.3,11,0.1,29,39.9,11,335.0
full-11-15-4,55,11,56,0,0.4,11,0.1,32,36.8,11,302.5
full-11-15-5,55,11,56,0,0.3,11,0.2,28,58.4,11,409.7
full-12-30-1,66,12,67,0,1.3,12,0.2,33,252.0,12,1691.0
full-12-30-2,66,12,67,0,0.8,12,0.1,31,494.8,12,1666.4
full-12-30-3,66,12,67,0,0.5,12,0.2,38,78.7,12,1239.4
full-12-30-4,66,12,67,0,0.9,12,0.2,39,273.0,12,1772.0
full-12-30-5,66,12,67,0,1.0,12,0.1,41,304.2,12,1590.3
full-12-15-1,66,12,67,0,0.4,12,0.2,32,39.0,12,749.8
full-12-15-2,66,12,67,0,0.7,12,0.2,24,77.2,12,696.9
full-12-15-3,66,12,67,0,0.4,12,0.1,27,82.9,12,691.5
full-12-15-4,66,12,67,0,0.3,12,0.1,30,70.4,12,849.4
full-12-15-5,66,12,67,0,0.5,12,0.2,36,66.7,12,1018.3
full-13-30-1,78,13,79,0,1.2,13,0.2,39,484.8,13,2749.5
full-13-30-2,78,13,79,0,14.3,13,0.2,36,491.4,13,2751.0
full-13-30-3,78,13,79,0,0.8,13,0.2,36,82.0,13,1550.0
full-13-30-4,78,13,79,0,0.8,13,0.1,36,291.4,13,1823.9
full-13-30-5,78,13,79,0,1.6,13,0.2,36,380.3,13,2562.2
full-13-15-1,78,13,79,0,0.4,13,0.2,41,99.8,13,1262.7
full-13-15-2,78,13,79,0,1.0,13,0.2,40,105.2,13,1257.6
full-13-15-3,78,13,79,0,0.5,13,0.2,35,123.6,14,1246.0
full-13-15-4,78,13,79,0,0.7,13,0.1,34,84.5,13,1337.2
full-13-15-5,78,13,79,0,0.5,13,0.2,39,81.7,13,1259.6
full-14-30-1,91,14,92,0,6.4,14,0.1,38,566.9,14,4693.6
full-14-30-2,91,14,92,0,1.2,14,0.1,42,574.7,15,4817.1
full-14-30-3,91,14,92,0,2.1,14,0.2,38,584.3,14,4647.0
full-14-30-4,91,14,92,0,1.1,14,0.2,35,184.5,14,3013.3
full-14-30-5,91,14,92,0,1.1,14,0.2,37,305.9,14,3593.3
