Instance,|D|,nIP_LB,nIP_UB,nIP_gap,nIP_time,nFEAS_LB,nFEAS_UB,nFEAS_gap,nFEAS_time,nMAX_LB,nMAX_UB,nMAX_gap,nMAX_time,IP_LB,IP_UB,IP_gap,IP_time,FEAS_LB,FEAS_UB,FEAS_gap,FEAS_time,MAX_LB,MAX_UB,MAX_gap,MAX_time,tIP_LB,tIP_UB,tIP_gap,tIP_time,tFEAS_LB,tFEAS_UB,tFEAS_gap,tFEAS_time,tMAX_LB,tMAX_UB,tMAX_gap,tMAX_time
full-5-30-1,10,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,2,5,5,0.0,1,5,5,0.0,2
full-5-30-2,10,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,1,5,5,0.0,0,5,5,0.0,1,5,5,0.0,0,5,5,0.0,1
full-5-30-3,10,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0
full-5-30-4,10,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,1
full-5-30-5,10,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,1,5,5,0.0,0,5,5,0.0,0
full-5-15-1,10,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,1,5,5,0.0,0,5,5,0.0,0
full-5-15-2,10,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0
full-5-15-3,10,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,1,5,5,0.0,0,5,5,0.0,0
full-5-15-4,10,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0
full-5-15-5,10,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0,0
